$IAG
            IAG        Japan  ChinaSouth    ChinaEast       Latam      Delta      United     American   Lufthansa AirFranceKLM
[41,] 0.9361147 0.0035389435 0.008440075 0.0023220626 0.004804339 0.01802819 0.003834008 0.0088628283 0.006425654  0.007629206
[42,] 0.9361147 0.0035389444 0.008440081 0.0023220663 0.004804339 0.01802819 0.003834012 0.0088628292 0.006425655  0.007629206
[43,] 0.9361147 0.0035389456 0.008440084 0.0023220664 0.004804339 0.01802819 0.003834013 0.0088628292 0.006425660  0.007629207
[44,] 0.9361147 0.0035389456 0.008440093 0.0023220687 0.004804339 0.01802819 0.003834016 0.0088628292 0.006425660  0.007629206
[45,] 0.9361146 0.0035389456 0.008440094 0.0023220687 0.004804339 0.01802819 0.003834016 0.0088628292 0.006425662  0.007629207
[46,] 0.9361146 0.0035389458 0.008440096 0.0023220687 0.004804339 0.01802819 0.003834016 0.0088628295 0.006425662  0.007629207
[47,] 0.9361146 0.0035389458 0.008440097 0.0023220687 0.004804339 0.01802819 0.003834016 0.0088628306 0.006425662  0.007629207
[48,] 0.9361146 0.0035389459 0.008440099 0.0023220690 0.004804339 0.01802819 0.003834017 0.0088628306 0.006425662  0.007629207
[49,] 0.9361146 0.0035389459 0.008440101 0.0023220691 0.004804339 0.01802819 0.003834017 0.0088628308 0.006425663  0.007629207
[50,] 0.9361146 0.0035389459 0.008440102 0.0023220691 0.004804339 0.01802819 0.003834017 0.0088628307 0.006425663  0.007629207

$Japan
              IAG     Japan   ChinaSouth    ChinaEast        Latam       Delta       United     American   Lufthansa AirFranceKLM
 [1,] 0.001752217 0.9982478 0.0000000000 0.0000000000 0.0000000000 0.000000000 0.0000000000 0.000000e+00 0.000000000 0.0000000000
 [2,] 0.002696987 0.9896156 0.0001291409 0.0001687736 0.0009321967 0.002710594 0.0002898222 1.121502e-06 0.003256548 0.0001991737
 [3,] 0.004255036 0.9847144 0.0007208332 0.0001914268 0.0012395753 0.003652964 0.0005690053 1.014825e-03 0.003439729 0.0002021589
 [4,] 0.004226050 0.9777375 0.0010580227 0.0033243788 0.0015135011 0.003630845 0.0007381799 3.210777e-03 0.004089070 0.0004717205
 [5,] 0.004397701 0.9706490 0.0037001952 0.0033390512 0.0018409966 0.003717152 0.0028226345 4.392617e-03 0.004059386 0.0010812210
 [6,] 0.004515128 0.9672089 0.0039882382 0.0033487888 0.0027580033 0.004645151 0.0028672026 5.546828e-03 0.004042769 0.0010789693
 [7,] 0.004974882 0.9628030 0.0040887630 0.0048282712 0.0028934987 0.004760841 0.0029549598 6.687002e-03 0.004931437 0.0010773191
 [8,] 0.005304026 0.9589769 0.0042584925 0.0051763849 0.0028890677 0.004776114 0.0033346985 7.562207e-03 0.006162025 0.0015601115
 [9,] 0.005677425 0.9567050 0.0045010428 0.0051647106 0.0029939645 0.005196589 0.0039067709 7.632703e-03 0.006215211 0.0020066237
[10,] 0.005876566 0.9518601 0.0073306011 0.0052346894 0.0029793606 0.005199641 0.0040600051 7.615700e-03 0.006202928 0.0036403908
[11,] 0.005925844 0.9508959 0.0077596588 0.0052484691 0.0029798470 0.005198266 0.0040568051 7.615202e-03 0.006413620 0.0039063425
[12,] 0.005922017 0.9502562 0.0081212475 0.0052452937 0.0029964258 0.005229426 0.0041156246 7.650942e-03 0.006540083 0.0039227667
[13,] 0.005945804 0.9476620 0.0103412569 0.0052363948 0.0030810882 0.005217338 0.0041774171 7.734631e-03 0.006689829 0.0039142475
[14,] 0.005953003 0.9474459 0.0103386226 0.0052402684 0.0031765732 0.005216861 0.0042394253 7.748148e-03 0.006705973 0.0039352361
[15,] 0.005989640 0.9471455 0.0104325880 0.0052492070 0.0031839130 0.005216926 0.0042442072 7.825806e-03 0.006746342 0.0039658523
[16,] 0.005992024 0.9457762 0.0117761515 0.0052658092 0.0031793575 0.005236303 0.0042416239 7.815845e-03 0.006750851 0.0039658793
[17,] 0.006005900 0.9455497 0.0119497023 0.0052699950 0.0031786552 0.005244946 0.0042561744 7.821449e-03 0.006749549 0.0039739483
[18,] 0.006034902 0.9454951 0.0119492898 0.0052754578 0.0031791767 0.005245810 0.0042566475 7.822978e-03 0.006762364 0.0039782988
[19,] 0.006067991 0.9453424 0.0120441738 0.0052748643 0.0031823219 0.005249153 0.0042678081 7.827317e-03 0.006763506 0.0039805109
[20,] 0.006077425 0.9452594 0.0120581791 0.0052884595 0.0031837464 0.005251301 0.0042676145 7.830472e-03 0.006782155 0.0040012139
[21,] 0.006086714 0.9452276 0.0120614738 0.0052960578 0.0031839476 0.005251720 0.0042744425 7.834204e-03 0.006782411 0.0040014087
[22,] 0.006087518 0.9451567 0.0120921995 0.0052966274 0.0031847128 0.005256958 0.0042791808 7.834955e-03 0.006805539 0.0040056007
[23,] 0.006089711 0.9451361 0.0120935241 0.0052980167 0.0031847122 0.005257985 0.0042849608 7.834959e-03 0.006812050 0.0040079635
[24,] 0.006089633 0.9451139 0.0121019681 0.0053002936 0.0031867763 0.005265805 0.0042859731 7.834775e-03 0.006812317 0.0040085407
[25,] 0.006091329 0.9450879 0.0121179405 0.0053001888 0.0031870492 0.005265936 0.0042869575 7.838526e-03 0.006815683 0.0040085273
[26,] 0.006091215 0.9450703 0.0121304503 0.0053006804 0.0031871687 0.005268324 0.0042882055 7.838592e-03 0.006816520 0.0040085765
[27,] 0.006091346 0.9450649 0.0121339118 0.0053011055 0.0031874290 0.005268631 0.0042883837 7.838548e-03 0.006817015 0.0040087292
[28,] 0.006091575 0.9450621 0.0121339431 0.0053016999 0.0031875221 0.005269078 0.0042884977 7.838626e-03 0.006818127 0.0040088217
[29,] 0.006091719 0.9450542 0.0121407493 0.0053016707 0.0031875069 0.005269144 0.0042892562 7.838725e-03 0.006818072 0.0040089125
[30,] 0.006091688 0.9450494 0.0121448013 0.0053017846 0.0031875602 0.005269317 0.0042892619 7.838911e-03 0.006818357 0.0040089106
[31,] 0.006091668 0.9450462 0.0121469100 0.0053019809 0.0031875509 0.005269821 0.0042893469 7.838885e-03 0.006818365 0.0040092697
[32,] 0.006091655 0.9450438 0.0121483841 0.0053021293 0.0031875486 0.005270080 0.0042894292 7.838880e-03 0.006818446 0.0040096170
[33,] 0.006091737 0.9450431 0.0121488883 0.0053021261 0.0031875540 0.005270076 0.0042894370 7.839007e-03 0.006818453 0.0040096175
[34,] 0.006091762 0.9450424 0.0121491392 0.0053021250 0.0031875779 0.005270094 0.0042894361 7.839110e-03 0.006818727 0.0040096145
[35,] 0.006091764 0.9450419 0.0121493181 0.0053021698 0.0031875919 0.005270094 0.0042895818 7.839151e-03 0.006818732 0.0040097017
[36,] 0.006091761 0.9450410 0.0121500365 0.0053021906 0.0031875906 0.005270090 0.0042895795 7.839163e-03 0.006818769 0.0040097805
[37,] 0.006091757 0.9450402 0.0121507738 0.0053022325 0.0031875906 0.005270089 0.0042895837 7.839157e-03 0.006818795 0.0040097773
[38,] 0.006091765 0.9450401 0.0121507725 0.0053022386 0.0031875938 0.005270107 0.0042896007 7.839172e-03 0.006818828 0.0040097778
[39,] 0.006091786 0.9450398 0.0121509506 0.0053022369 0.0031875933 0.005270113 0.0042896176 7.839190e-03 0.006818933 0.0040098085
[40,] 0.006091797 0.9450394 0.0121512082 0.0053022454 0.0031875925 0.005270116 0.0042896410 7.839197e-03 0.006818954 0.0040098071
[41,] 0.006091796 0.9450393 0.0121512944 0.0053022451 0.0031875928 0.005270126 0.0042896538 7.839205e-03 0.006818953 0.0040098086
[42,] 0.006091799 0.9450393 0.0121512999 0.0053022455 0.0031875942 0.005270128 0.0042896582 7.839205e-03 0.006818962 0.0040098109
[43,] 0.006091802 0.9450393 0.0121513062 0.0053022483 0.0031875942 0.005270128 0.0042896597 7.839211e-03 0.006818963 0.0040098113
[44,] 0.006091801 0.9450392 0.0121513387 0.0053022518 0.0031875966 0.005270134 0.0042896624 7.839210e-03 0.006818964 0.0040098146
[45,] 0.006091801 0.9450392 0.0121513551 0.0053022560 0.0031875974 0.005270138 0.0042896637 7.839213e-03 0.006818964 0.0040098145
[46,] 0.006091802 0.9450392 0.0121513656 0.0053022582 0.0031875973 0.005270138 0.0042896676 7.839213e-03 0.006818972 0.0040098144
[47,] 0.006091802 0.9450392 0.0121513755 0.0053022590 0.0031875973 0.005270138 0.0042896707 7.839213e-03 0.006818974 0.0040098167
[48,] 0.006091802 0.9450391 0.0121513755 0.0053022615 0.0031875976 0.005270143 0.0042896725 7.839213e-03 0.006818974 0.0040098176
[49,] 0.006091802 0.9450391 0.0121513819 0.0053022614 0.0031875976 0.005270143 0.0042896725 7.839213e-03 0.006818975 0.0040098177
[50,] 0.006091802 0.9450391 0.0121513858 0.0053022614 0.0031875977 0.005270144 0.0042896725 7.839213e-03 0.006818975 0.0040098177

$ChinaSouth
              IAG       Japan ChinaSouth    ChinaEast        Latam        Delta       United     American    Lufthansa AirFranceKLM
 [1,] 0.000189198 0.001124300  0.9986865 0.000000e+00 0.0000000000 0.0000000000 0.0000000000 0.000000e+00 0.0000000000  0.000000000
 [2,] 0.004738844 0.001125911  0.9912670 2.623122e-06 0.0008312357 0.0002322752 0.0006470977 9.427742e-05 0.0009569333  0.000103755
 [3,] 0.004851488 0.001122121  0.9830955 5.325815e-06 0.0011130873 0.0013229846 0.0007344775 1.157946e-04 0.0071099521  0.000529225
 [4,] 0.007340009 0.001559835  0.9749446 7.348682e-04 0.0012737232 0.0013847487 0.0022826888 5.865854e-04 0.0085365597  0.001356387
 [5,] 0.007792554 0.001925347  0.9706660 2.471309e-03 0.0013131596 0.0020176569 0.0023737536 1.407933e-03 0.0086405036  0.001391733
 [6,] 0.007736813 0.002274260  0.9639232 2.847215e-03 0.0013313165 0.0042160168 0.0024047628 2.832605e-03 0.0110405862  0.001393254
 [7,] 0.007703128 0.002296922  0.9595522 2.831986e-03 0.0013302427 0.0049361938 0.0025005437 3.745094e-03 0.0117908759  0.003312794
 [8,] 0.009090292 0.002292380  0.9462768 5.809530e-03 0.0013331646 0.0051401350 0.0050132594 4.295449e-03 0.0154280113  0.005321029
 [9,] 0.009096702 0.002294605  0.9441544 6.151544e-03 0.0014744169 0.0061515721 0.0052878628 4.284590e-03 0.0157923341  0.005311959
[10,] 0.009150021 0.002408074  0.9345464 6.325727e-03 0.0015313359 0.0069626671 0.0071642121 6.736037e-03 0.0195962196  0.005579315
[11,] 0.009319578 0.002406437  0.9337105 6.326461e-03 0.0015448017 0.0070397436 0.0075573503 6.763154e-03 0.0197567759  0.005575151
[12,] 0.009333539 0.002426109  0.9334314 6.325411e-03 0.0015472392 0.0071938714 0.0075873190 6.780117e-03 0.0197988747  0.005576074
[13,] 0.009423978 0.002426250  0.9330868 6.369898e-03 0.0016186074 0.0071879608 0.0076517552 6.846126e-03 0.0198168032  0.005571852
[14,] 0.009419597 0.002425371  0.9330342 6.365957e-03 0.0016175792 0.0071897392 0.0076769333 6.872373e-03 0.0198055092  0.005592727
[15,] 0.009444511 0.002443070  0.9327021 6.362172e-03 0.0016617979 0.0072682861 0.0077114118 6.884351e-03 0.0199241376  0.005598180
[16,] 0.009452323 0.002565882  0.9324377 6.394590e-03 0.0016666071 0.0072994456 0.0077152564 6.887065e-03 0.0199212122  0.005659877
[17,] 0.009440574 0.002563851  0.9324555 6.387080e-03 0.0016654905 0.0073206295 0.0077189715 6.884286e-03 0.0198913791  0.005672256
[18,] 0.009438780 0.002563601  0.9324060 6.387345e-03 0.0016651264 0.0073190131 0.0077680666 6.888808e-03 0.0198872574  0.005676041
[19,] 0.009446035 0.002566562  0.9323376 6.397075e-03 0.0016688653 0.0073362293 0.0077654945 6.886278e-03 0.0199148830  0.005681010
[20,] 0.009446541 0.002566667  0.9322855 6.401098e-03 0.0016726117 0.0073358142 0.0077742168 6.888845e-03 0.0199206664  0.005708084
[21,] 0.009448770 0.002569755  0.9322500 6.414164e-03 0.0016730295 0.0073367544 0.0077854871 6.888430e-03 0.0199193671  0.005714258
[22,] 0.009448658 0.002569789  0.9322146 6.416354e-03 0.0016741294 0.0073364014 0.0077855890 6.892911e-03 0.0199477885  0.005713746
[23,] 0.009449085 0.002569877  0.9321824 6.416110e-03 0.0016744775 0.0073436859 0.0077852974 6.892985e-03 0.0199623133  0.005723814
[24,] 0.009451209 0.002570085  0.9321587 6.419140e-03 0.0016744968 0.0073434753 0.0077858904 6.897356e-03 0.0199705039  0.005729118
[25,] 0.009450709 0.002569876  0.9321533 6.421962e-03 0.0016744565 0.0073465900 0.0077886947 6.896932e-03 0.0199688696  0.005728623
[26,] 0.009450450 0.002570749  0.9321418 6.422549e-03 0.0016747626 0.0073465658 0.0077952039 6.899028e-03 0.0199704388  0.005728455
[27,] 0.009450433 0.002570807  0.9321377 6.422636e-03 0.0016748646 0.0073475140 0.0077959660 6.899044e-03 0.0199724555  0.005728591
[28,] 0.009452017 0.002570790  0.9321304 6.422641e-03 0.0016748384 0.0073478588 0.0077967422 6.900748e-03 0.0199754974  0.005728504
[29,] 0.009452840 0.002571044  0.9321260 6.422970e-03 0.0016751516 0.0073487615 0.0077970847 6.900868e-03 0.0199764195  0.005728880
[30,] 0.009452790 0.002571420  0.9321244 6.423015e-03 0.0016751376 0.0073486995 0.0077970365 6.902080e-03 0.0199765708  0.005728825
[31,] 0.009452781 0.002571443  0.9321234 6.423168e-03 0.0016751357 0.0073487134 0.0077971615 6.902114e-03 0.0199771800  0.005728902
[32,] 0.009452841 0.002571615  0.9321208 6.423810e-03 0.0016751540 0.0073493117 0.0077975097 6.902121e-03 0.0199774807  0.005729345
[33,] 0.009453026 0.002571614  0.9321201 6.423873e-03 0.0016752438 0.0073494714 0.0077975427 6.902230e-03 0.0199774530  0.005729401
[34,] 0.009453069 0.002571671  0.9321196 6.423882e-03 0.0016752480 0.0073495132 0.0077975738 6.902235e-03 0.0199777669  0.005729412
[35,] 0.009453058 0.002571675  0.9321191 6.424039e-03 0.0016752808 0.0073495054 0.0077978937 6.902242e-03 0.0199777990  0.005729414
[36,] 0.009453054 0.002571687  0.9321187 6.424074e-03 0.0016752799 0.0073495847 0.0077978895 6.902248e-03 0.0199779406  0.005729561
[37,] 0.009453052 0.002571686  0.9321184 6.424144e-03 0.0016752911 0.0073495947 0.0077979020 6.902249e-03 0.0199780224  0.005729646
[38,] 0.009453055 0.002571688  0.9321183 6.424153e-03 0.0016753129 0.0073495929 0.0077979024 6.902259e-03 0.0199780627  0.005729645
[39,] 0.009453053 0.002571691  0.9321182 6.424154e-03 0.0016753135 0.0073495940 0.0077979086 6.902268e-03 0.0199781727  0.005729658
[40,] 0.009453049 0.002571691  0.9321181 6.424168e-03 0.0016753132 0.0073495914 0.0077979090 6.902266e-03 0.0199781811  0.005729700
[41,] 0.009453044 0.002571690  0.9321181 6.424171e-03 0.0016753122 0.0073496063 0.0077979044 6.902262e-03 0.0199781699  0.005729697
[42,] 0.009453044 0.002571690  0.9321181 6.424171e-03 0.0016753136 0.0073496065 0.0077979050 6.902262e-03 0.0199781705  0.005729698
[43,] 0.009453047 0.002571690  0.9321181 6.424171e-03 0.0016753135 0.0073496054 0.0077979200 6.902263e-03 0.0199781941  0.005729699
[44,] 0.009453049 0.002571692  0.9321181 6.424170e-03 0.0016753135 0.0073496049 0.0077979223 6.902273e-03 0.0199781917  0.005729703
[45,] 0.009453049 0.002571692  0.9321181 6.424175e-03 0.0016753135 0.0073496130 0.0077979238 6.902273e-03 0.0199781915  0.005729704
[46,] 0.009453052 0.002571693  0.9321180 6.424176e-03 0.0016753135 0.0073496150 0.0077979235 6.902273e-03 0.0199782057  0.005729703
[47,] 0.009453053 0.002571693  0.9321180 6.424177e-03 0.0016753135 0.0073496157 0.0077979235 6.902274e-03 0.0199782078  0.005729704
[48,] 0.009453053 0.002571693  0.9321180 6.424178e-03 0.0016753135 0.0073496166 0.0077979238 6.902276e-03 0.0199782114  0.005729708
[49,] 0.009453053 0.002571694  0.9321180 6.424182e-03 0.0016753138 0.0073496194 0.0077979274 6.902277e-03 0.0199782108  0.005729708
[50,] 0.009453053 0.002571694  0.9321180 6.424182e-03 0.0016753138 0.0073496197 0.0077979290 6.902277e-03 0.0199782129  0.005729708

$ChinaEast
               IAG        Japan   ChinaSouth ChinaEast        Latam        Delta      United    American    Lufthansa AirFranceKLM
 [1,] 0.0002838361 0.0003058693 1.006520e-06 0.9994093 0.000000e+00 0.0000000000 0.000000000 0.000000000 0.0000000000 0.0000000000
 [2,] 0.0014842081 0.0003284547 6.109936e-04 0.9912641 1.261012e-05 0.0001557434 0.001920615 0.003162411 0.0006410538 0.0004198584
 [3,] 0.0034799564 0.0003367159 6.689895e-04 0.9844817 7.469434e-04 0.0004585239 0.004271899 0.003952338 0.0007435222 0.0008594518
 [4,] 0.0034782420 0.0018029931 6.754942e-04 0.9795358 7.813227e-04 0.0015733243 0.004263079 0.005732931 0.0012918108 0.0008650356
 [5,] 0.0045545982 0.0021455497 1.060222e-03 0.9720919 1.915301e-03 0.0015768629 0.004623729 0.007213113 0.0013450572 0.0034736363
 [6,] 0.0046852808 0.0021851285 1.057565e-03 0.9691975 1.943625e-03 0.0027749636 0.004625638 0.007379529 0.0024143291 0.0037363944
 [7,] 0.0048830801 0.0022282161 2.180526e-03 0.9613768 3.063710e-03 0.0039431404 0.004601477 0.010042585 0.0030956590 0.0045848557
 [8,] 0.0055518548 0.0024746484 2.175893e-03 0.9571523 4.370756e-03 0.0046852054 0.004736094 0.010479240 0.0033133330 0.0050606424
